Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Log Work,Log Work,Log Work,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that the 'About Us' link gives more information related to the 'Real Estate' website.,RE-67,10125,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 10:17 AM,08/Sep/21 4:34 AM,08/Sep/21 4:34 AM,07/Sep/21 9:12 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-66,,,,,,,,,,,,{},,,,,,,0|i000mn:,,Real Estate Sprint,,,,,,,,Done
"As a user, I want to access other links on the bottom of the page, so that I can contact the team or get more information.",RE-66,10124,Story,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 10:04 AM,07/Sep/21 7:23 AM,08/Sep/21 7:19 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i00087:i,,Real Estate Sprint,,,,,,,,In Progress
Verify the 'Send' button in Contact Form with valid input in each field.,RE-64,10122,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:57 AM,07/Sep/21 12:29 PM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-61,RE-5,,,,,,,,,,,,{},,,,,,,0|i00087:hx,,Real Estate Sprint,,,,,,,,In Progress
Verify the 'Message' field in Contact Form with null input.,RE-63,10121,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:55 AM,08/Sep/21 4:26 AM,09/Sep/21 5:29 AM,07/Sep/21 9:09 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-59,RE-5,,,,,,,,,,,,{},,,,,,,0|i000lz:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Message' field in Contact Form with special characters only.,RE-62,10120,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:54 AM,08/Sep/21 4:26 AM,09/Sep/21 5:29 AM,07/Sep/21 9:48 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-60,RE-5,,,,,,,,,,,,{},,,,,,,0|i000lr:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Message' field in Contact Form with valid input.,RE-61,10119,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:53 AM,08/Sep/21 4:26 AM,09/Sep/21 5:29 AM,07/Sep/21 7:27 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-58,RE-5,,,,,,,,,,,,{},,,,,,,0|i000lj:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Subject' field in Contact Form with special characters.,RE-60,10118,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:52 AM,08/Sep/21 4:26 AM,09/Sep/21 5:29 AM,07/Sep/21 6:41 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-54,RE-5,,,,,,,,,,,,{},,,,,,,0|i000lb:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Subject' field in Contact Form with null input.,RE-59,10117,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:51 AM,08/Sep/21 4:25 AM,09/Sep/21 5:29 AM,07/Sep/21 5:18 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-53,RE-5,,,,,,,,,,,,{},,,,,,,0|i000l3:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Subject' field in Contact Form with valid input.,RE-58,10116,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:50 AM,08/Sep/21 4:25 AM,09/Sep/21 5:29 AM,07/Sep/21 8:46 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-52,RE-5,,,,,,,,,,,,{},,,,,,,0|i000kv:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Email' field in Contact Form with incorrect format.,RE-57,10115,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:49 AM,08/Sep/21 4:25 AM,09/Sep/21 5:29 AM,07/Sep/21 5:22 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-56,RE-5,,,,,,,,,,,,{},,,,,,,0|i000kn:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Email' field in Contact Form with null input.,RE-56,10114,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:36 AM,08/Sep/21 4:25 AM,09/Sep/21 5:29 AM,07/Sep/21 5:08 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-53,RE-5,,,,,,,,,,,,{},,,,,,,0|i000kf:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Email' field in Contact Form with valid input.,RE-55,10113,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:35 AM,09/Sep/21 5:26 AM,09/Sep/21 5:26 AM,07/Sep/21 5:06 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-52,RE-5,,,,,,,,,,,,{},,,,,,,0|i000k7:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Name' field in Contact Form with special characters.,RE-54,10112,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:32 AM,08/Sep/21 4:24 AM,09/Sep/21 5:29 AM,07/Sep/21 9:10 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-53,RE-5,,,,,,,,,,,,{},,,,,,,0|i000jz:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Name' field in Contact Form with null input.,RE-53,10111,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:31 AM,08/Sep/21 4:24 AM,09/Sep/21 5:29 AM,07/Sep/21 8:41 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-52,RE-5,,,,,,,,,,,,{},,,,,,,0|i000jr:,,Real Estate Sprint,,,,,,,,Done
Verify the 'Name' field in Contact Form with valid input.,RE-52,10110,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:29 AM,08/Sep/21 4:24 AM,09/Sep/21 5:29 AM,07/Sep/21 5:13 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-48,RE-5,,,,,,,,,,,,{},,,,,,,0|i000jj:,,Real Estate Sprint,,,,,,,,Done
Verify that Email Address of Real Estate on the 'Contact Us' page is working or not.,RE-51,10109,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:24 AM,07/Sep/21 12:29 PM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-50,RE-5,,,,,,,,,,,,{},,,,,,,0|i00087:hv,,Real Estate Sprint,,,,,,,,In Progress
Verify that Web link of Real Estate on the 'Contact Us' page is accessible or not.,RE-50,10108,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:22 AM,07/Sep/21 12:29 PM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-49,RE-5,,,,,,,,,,,,{},,,,,,,0|i00087:hr,,Real Estate Sprint,,,,,,,,In Progress
"Verify that user finds the Phone number, Web address and Email address of Real Estate on the 'Contact Us' page.",RE-49,10107,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:19 AM,08/Sep/21 4:23 AM,09/Sep/21 5:29 AM,07/Sep/21 9:08 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-48,RE-5,,,,,,,,,,,,{},,,,,,,0|i000iv:,,Real Estate Sprint,,,,,,,,Done
Verify that user gets the office location with a map on clicking the 'Contact Us' link.,RE-48,10106,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:16 AM,08/Sep/21 4:23 AM,09/Sep/21 5:29 AM,07/Sep/21 7:24 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-5,,,,,,,,,,,,{},,,,,,,0|i000in:,,Real Estate Sprint,,,,,,,,Done
Verify that the user scrolls within pages to see older blogs on the 'Blogs' page.,RE-47,10105,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:09 AM,08/Sep/21 4:33 AM,08/Sep/21 4:33 AM,07/Sep/21 9:49 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-41,RE-36,,,,,,,,,,,,{},,,,,,,0|i000if:,,Real Estate Sprint,,,,,,,,Done
Verify that the LinkedIn icon on 'Blogs' page takes user to linkedin login page.,RE-46,10104,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:06 AM,07/Sep/21 12:28 PM,08/Sep/21 4:33 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-45,RE-36,,,,,,,,,,,,{},,,,,,,0|i00087:hi,,Real Estate Sprint,,,,,,,,In Progress
Verify that the Google+ icon on 'Blogs' page takes user to google+ login page.,RE-45,10103,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:05 AM,07/Sep/21 12:28 PM,08/Sep/21 4:32 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-44,RE-36,,,,,,,,,,,,{},,,,,,,0|i00087:h,,Real Estate Sprint,,,,,,,,In Progress
Verify that the Twitter icon on 'Blogs' page takes user to twitter login page.,RE-44,10102,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 9:03 AM,08/Sep/21 4:32 AM,08/Sep/21 4:32 AM,07/Sep/21 5:24 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-43,RE-36,,,,,,,,,,,,{},,,,,,,0|i000hr:,,Real Estate Sprint,,,,,,,,Done
Verify that the Facebook icon on 'Blogs' page takes user to facebook login page.,RE-43,10101,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 8:57 AM,08/Sep/21 4:32 AM,08/Sep/21 4:32 AM,07/Sep/21 9:56 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-38,RE-36,,,,,,,,,,,,{},,,,,,,0|i000hj:,,Real Estate Sprint,,,,,,,,Done
Verify that 'Drop us a line' on 'Blog' page takes user to Contact Us page.,RE-42,10100,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 8:54 AM,08/Sep/21 4:32 AM,08/Sep/21 4:32 AM,07/Sep/21 6:08 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-41,RE-36,,,,,,,,,,,,{},,,,,,,0|i000hb:,,Real Estate Sprint,,,,,,,,Done
Verify that the user is able to search for properties in the search bar in the 'Blog' website.,RE-41,10099,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 8:45 AM,08/Sep/21 4:31 AM,08/Sep/21 4:31 AM,07/Sep/21 9:13 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-40,RE-36,,,,,,,,,,,,{},,,,,,,0|i000h3:,,Real Estate Sprint,,,,,,,,Done
Verify user clicks on 'Read More' within any blog to get more information related to the blog.,RE-40,10098,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 8:30 AM,08/Sep/21 4:31 AM,08/Sep/21 4:31 AM,07/Sep/21 9:15 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-38,RE-36,,,,,,,,,,,,{},,,,,,,0|i000gv:,,Real Estate Sprint,,,,,,,,Done
"Verify each blog has the content, number of comments, posting date and posting person's username.",RE-39,10097,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 7:26 AM,08/Sep/21 4:31 AM,09/Sep/21 5:29 AM,07/Sep/21 5:15 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-38,RE-36,,,,,,,,,,,,{},,,,,,,0|i000gn:,,Real Estate Sprint,,,,,,,,Done
Verify user can see blogs on clicking 'Blogs' section.,RE-38,10096,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 7:20 AM,08/Sep/21 4:31 AM,09/Sep/21 5:29 AM,07/Sep/21 9:03 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-37,RE-36,,,,,,,,,,,,{},,,,,,,0|i000gf:,,Real Estate Sprint,,,,,,,,Done
Verify user gets more information in 'Invest in Overseas' section.,RE-37,10095,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 5:02 AM,08/Sep/21 4:31 AM,09/Sep/21 5:29 AM,07/Sep/21 9:01 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-36,,,,,,,,,,,,{},,,,,,,0|i000g7:,,Real Estate Sprint,,,,,,,,Done
"As a user, I want to access other links on top of the page, so that I can get more information.",RE-36,10094,Story,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 4:58 AM,08/Sep/21 7:12 AM,08/Sep/21 7:19 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i00087:fi,,Real Estate Sprint,,,,,,,,In Progress
Verify that user clicks on any Realty News & Article on the 'Real Estate' page and finds more information about it.,RE-35,10093,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 4:54 AM,08/Sep/21 4:21 AM,09/Sep/21 5:29 AM,07/Sep/21 6:39 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-34,RE-4,,,,,,,,,,,,{},,,,,,,0|i000fr:,,Real Estate Sprint,,,,,,,,Done
Verify that user finds 'Realty News & Articles' on the 'Real Estate' page and scrolls through them.,RE-34,10092,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 4:28 AM,08/Sep/21 4:21 AM,09/Sep/21 5:29 AM,07/Sep/21 8:47 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-33,RE-4,,,,,,,,,,,,{},,,,,,,0|i000fj:,,Real Estate Sprint,,,,,,,,Done
Verify that the 'Real Estate' link shows clients' comments under 'What our clients say' and the user scrolls through them.,RE-33,10091,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 4:25 AM,08/Sep/21 4:21 AM,09/Sep/21 5:29 AM,07/Sep/21 6:37 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-22,RE-4,,,,,,,,,,,,{},,,,,,,0|i000fb:,,Real Estate Sprint,,,,,,,,Done
Verify user access a link named 'Share details' when hovering on 'Property Management' in the 'Real Estate' page.,RE-31,10089,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 4:12 AM,08/Sep/21 4:21 AM,09/Sep/21 5:29 AM,07/Sep/21 9:02 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-29,RE-4,,,,,,,,,,,,{},,,,,,,0|i000ev:,,Real Estate Sprint,,,,,,,,Done
Verify user access a link named 'Browse Properties' when hovering on 'We help people and homes find each other' in the 'Real Estate' page.,RE-29,10087,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 4:02 AM,07/Sep/21 12:28 PM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-27,RE-4,,,,,,,,,,,,{},,,,,,,0|i00087:fhv,,Real Estate Sprint,,,,,,,,In Progress
"Verify user gets number of 'Listings For Sale', 'Clients', 'Builders', 'Conversion' on 'Real Estate' page.",RE-28,10086,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 9:39 AM,08/Sep/21 4:20 AM,09/Sep/21 5:29 AM,07/Sep/21 9:55 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-27,RE-4,,,,,,,,,,,,{},,,,,,,0|i000e7:,,Real Estate Sprint,,,,,,,,Done
Verify user gets legal information with 'Legal' option on 'Real Estate' page.,RE-27,10085,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 9:34 AM,08/Sep/21 4:20 AM,09/Sep/21 5:29 AM,07/Sep/21 6:46 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-26,RE-4,,,,,,,,,,,,{},,,,,,,0|i000dz:,,Real Estate Sprint,,,,,,,,Done
Verify user gets information on interiors with 'Interiors' option on 'Real Estate' page.,RE-26,10084,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 9:33 AM,08/Sep/21 4:20 AM,09/Sep/21 5:29 AM,07/Sep/21 8:43 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-25,RE-4,,,,,,,,,,,,{},,,,,,,0|i000dr:,,Real Estate Sprint,,,,,,,,Done
Verify user gets information on home loan with 'Home Loan' option on 'Real Estate' page.,RE-25,10083,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 9:27 AM,08/Sep/21 4:20 AM,09/Sep/21 5:29 AM,07/Sep/21 9:59 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-24,RE-4,,,,,,,,,,,,{},,,,,,,0|i000dj:,,Real Estate Sprint,,,,,,,,Done
Verify user gets information on realty with 'Realty' option on 'Real Estate' page.,RE-24,10082,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 9:25 AM,08/Sep/21 4:19 AM,09/Sep/21 5:29 AM,07/Sep/21 9:11 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-23,RE-4,,,,,,,,,,,,{},,,,,,,0|i000db:,,Real Estate Sprint,,,,,,,,Done
